Sequence,variant,lambda_rate,seed,BPP,PSNR,SSIM,MS-SSIM,LPIPS,DISTS,MSE,summary_source
HoneyBee,Baseline,0.0018,42,0.0273617311328526,28.57781423412058,0.966454037030538,0.9407194077968596,0.1353683466712633,0.0410725424687067,0.0013904486744043,uploaded_results\honeybee_gpu0_baseline_full\honeybee_gpu0_baseline_full_20260708_080859\summary_metrics.csv
HoneyBee,Baseline,0.0067,42,0.0224722620881633,28.529389379003195,0.9660796463489532,0.940523917476336,0.1352483198046684,0.0404877404371897,0.0014059509364111,uploaded_results\honeybee_gpu0_baseline_full\honeybee_gpu0_baseline_full_20260708_080859\summary_metrics.csv
HoneyBee,Baseline,0.025,42,0.0155628872153199,27.6432663566981,0.961821726957957,0.9300026506185533,0.1528765921791394,0.0487799088160196,0.0017234224302228,uploaded_results\honeybee_gpu0_baseline_full\honeybee_gpu0_baseline_full_20260708_080859\summary_metrics.csv
HoneyBee,Full_ATIC,0.0018,42,0.2993157552083332,31.950805498298884,0.9802766372760136,0.9623475243647892,0.1039225498835245,0.0293206254641215,0.0006388881398985,uploaded_results\honeybee_gpu0_baseline_full\honeybee_gpu0_baseline_full_20260708_080859\summary_metrics.csv
HoneyBee,Full_ATIC,0.0067,42,0.2457144794228636,31.8409963608454,0.98095074792703,0.9622253020604452,0.1044271839161714,0.0296954731146494,0.0006550828819551,uploaded_results\honeybee_gpu0_baseline_full\honeybee_gpu0_baseline_full_20260708_080859\summary_metrics.csv
HoneyBee,Full_ATIC,0.025,42,0.1908236233903547,31.331781746596164,0.9782762209574382,0.9581271876891454,0.1134754002094268,0.0382613629102706,0.0007365209137788,uploaded_results\honeybee_gpu0_baseline_full\honeybee_gpu0_baseline_full_20260708_080859\summary_metrics.csv
HoneyBee,No_AdaptiveQuant,0.0018,42,0.3575409447312845,32.089457489694475,0.981386292974154,0.9632174958785374,0.101700660213828,0.0278581718603769,0.000618867871041,uploaded_results\honeybee_gpu1_noadaptive_nocbam\honeybee_gpu1_noadaptive_nocbam_20260708_080947\summary_metrics.csv
HoneyBee,No_AdaptiveQuant,0.0067,42,0.2763658267048651,31.257591107832056,0.976948215564092,0.9570980856815974,0.1165565865735212,0.0356380810340245,0.0007491459565547,uploaded_results\honeybee_gpu1_noadaptive_nocbam\honeybee_gpu1_noadaptive_nocbam_20260708_080947\summary_metrics.csv
HoneyBee,No_AdaptiveQuant,0.025,42,0.1940762976344229,31.32289925478732,0.9778742889563242,0.9577021290858586,0.1149481250594059,0.0356653521458307,0.0007379517725591,uploaded_results\honeybee_gpu1_noadaptive_nocbam\honeybee_gpu1_noadaptive_nocbam_20260708_080947\summary_metrics.csv
HoneyBee,No_CBAM,0.0018,42,0.3083756477136181,32.2878408659166,0.9826856722434362,0.9647855490446092,0.0977762731413046,0.0273464818795522,0.0005910633267679,uploaded_results\honeybee_gpu1_noadaptive_nocbam\honeybee_gpu1_noadaptive_nocbam_20260708_080947\summary_metrics.csv
HoneyBee,No_CBAM,0.0067,42,0.2501536924574111,31.90826793540888,0.979639172554016,0.9615968247254688,0.1033954209337631,0.0297890216112136,0.0006452126341173,uploaded_results\honeybee_gpu1_noadaptive_nocbam\honeybee_gpu1_noadaptive_nocbam_20260708_080947\summary_metrics.csv
