Sequence,variant,BPP_min,BPP_max,BPP_span
HoneyBee,Baseline,0.0155628872153199,0.0273617311328526,0.0117988439175327
HoneyBee,Full_ATIC,0.1908236233903547,0.2993157552083332,0.10849213181797851
HoneyBee,No_AdaptiveQuant,0.1940762976344229,0.3575409447312845,0.1634646470968616
HoneyBee,No_CBAM,0.1297214655778045,0.3083756477136181,0.17865418213581358
Bosphorous,Baseline,0.004670539665308,0.0091562947716732,0.0044857551063652
Bosphorous,Full_ATIC,0.0153324114167641,0.5089596229835792,0.4936272115668151
Bosphorous,No_AdaptiveQuant,0.0399871323981893,0.4970095898349589,0.4570224574367696
Bosphorous,No_CBAM,0.0135626221029356,0.5202892837210447,0.5067266616181091
YachtRide,Baseline,0.0047140809020157,0.0058030093363773,0.0010889284343616
YachtRide,Full_ATIC,0.0173245605029196,0.0264381222195095,0.009113561716589898
YachtRide,No_AdaptiveQuant,0.0584546862472722,0.27119860704838,0.2127439208011078
YachtRide,No_CBAM,0.0141164905941535,0.4771844111313055,0.463067920537152
