Sequence,variant,BPP_lambda_0.0018,BPP_lambda_0.0067,BPP_lambda_0.025,BPP_nonincreasing_as_rate_penalty_increases
HoneyBee,Baseline,0.0273617311328526,0.0224722620881633,0.0155628872153199,True
HoneyBee,Full_ATIC,0.2993157552083332,0.2457144794228636,0.1908236233903547,True
HoneyBee,No_AdaptiveQuant,0.3575409447312845,0.2763658267048651,0.1940762976344229,True
HoneyBee,No_CBAM,0.3083756477136181,0.2501536924574111,0.1297214655778045,True
Bosphorous,Baseline,0.0091562947716732,0.0053014352123862,0.004670539665308,True
Bosphorous,Full_ATIC,0.5089596229835792,0.1308627778198493,0.0153324114167641,True
Bosphorous,No_AdaptiveQuant,0.4970095898349589,0.1282130497904961,0.0399871323981893,True
Bosphorous,No_CBAM,0.5202892837210447,0.4441416355337136,0.0135626221029356,True
YachtRide,Baseline,0.0057728692815627,0.0058030093363773,0.0047140809020157,False
YachtRide,Full_ATIC,0.0264381222195095,0.0173245605029196,0.0186590521227675,False
YachtRide,No_AdaptiveQuant,0.27119860704838,0.1413080607598701,0.0584546862472722,True
YachtRide,No_CBAM,0.0618958182315277,0.4771844111313055,0.0141164905941535,False
