variant,lambda_rate,BPP_mean,BPP_std,PSNR_mean,PSNR_std,SSIM_mean,SSIM_std,MS-SSIM_mean,MS-SSIM_std,LPIPS_mean,LPIPS_std,DISTS_mean,DISTS_std,MSE_mean,MSE_std
Baseline,0.0018,0.0140969650620295,0.01161152040850065,20.74248636621473,8.240867347966239,0.7025069299671385,0.2471727316985906,0.6968040956391227,0.23155919654217136,0.34084964510467314,0.187259441139772,0.3590200076500574,0.28384216072940266,0.023198900132491734,0.03297029416878394
Baseline,0.0067,0.011192235545642268,0.009772008148300359,21.721238432432344,6.341799191520187,0.7063138981660207,0.23557476317676135,0.6938829233249028,0.2254670004773944,0.3330985206696722,0.1768281951374201,0.3678819202714496,0.2859070834924318,0.011827846385616134,0.012351880033083554
Baseline,0.025,0.008315835927547867,0.006276168276545986,21.319303959903326,5.889684783468359,0.7042431059810851,0.23423933778996192,0.692716178463565,0.21718162178238185,0.3443602123194271,0.17029977173011307,0.36266330083211257,0.2723833820525536,0.012288352860681034,0.012345535198836157
Full_ATIC,0.0018,0.278237833470474,0.24195032292496124,25.29343172887749,8.111578472816166,0.8105967084566753,0.25974077433657755,0.7947755853335062,0.24983717457422355,0.29212331672509506,0.19074526962021837,0.27250247663921773,0.3030221717801456,0.008739251629190667,0.013113637718222349
Full_ATIC,0.0067,0.13130060591521084,0.1141955889522247,24.17753480150486,7.213552416586889,0.7565046128299501,0.2326933330332803,0.7497296141253577,0.2254043679164779,0.3257791235215134,0.20016001397851974,0.35883875456121234,0.30396378815204284,0.007728638242891332,0.008893290831368382
Full_ATIC,0.025,0.07493836230996209,0.10037336268328254,21.63986088879209,8.451850072068137,0.6980179455545213,0.24762286231250474,0.6865422015388806,0.23975099483634052,0.36124198883771896,0.2206634192156647,0.4561988830566406,0.36228415948290166,0.0145636612682008,0.01290876699864287
No_AdaptiveQuant,0.0018,0.37524971387154116,0.11394231156645603,27.4070201571555,5.33930185274936,0.9065179228782654,0.10810506544343777,0.8902107059955596,0.10118156693947535,0.26381334832145104,0.1659218337076358,0.16313802368111077,0.14847076810719298,0.0029922129107742,0.003456397865148364
No_AdaptiveQuant,0.0067,0.18196231241841043,0.08201760457546076,23.34461341230786,7.397851779639344,0.739857250948747,0.23320311800274582,0.7328125975198215,0.22629732449607287,0.34935617819428444,0.21030724467121625,0.3786735733350118,0.31570214896458504,0.009599590794338466,0.011052896643335636
No_AdaptiveQuant,0.025,0.09750603875996149,0.08414050041806602,21.457517191608094,8.639065008886055,0.6881931275129318,0.2589011558267808,0.6796853916512595,0.2474309831891974,0.35061867348849773,0.2079408568848418,0.4403954409890704,0.3522833718991434,0.015799262534710534,0.01468566703237804
No_CBAM,0.0018,0.2968535832220635,0.22941384173253998,26.12142211808498,7.6701225471350245,0.8165685276190441,0.2606539994122915,0.8030672361453375,0.24758984977369194,0.2882539663877752,0.20379227006253395,0.276335828171836,0.3260786296374852,0.006677193654468234,0.009850517998947834
No_CBAM,0.0067,0.39049324637414334,0.1226554077485325,28.0890780719958,3.586437158519943,0.9409948021173477,0.038614211133589156,0.9193669564194149,0.040183941643448566,0.24765843273037005,0.12917861317014093,0.1317984948555628,0.08836998763518025,0.0019046262427258331,0.0013425324804713168
No_CBAM,0.025,0.05246685942496453,0.06690502463529331,22.465775961218913,7.841893476672822,0.7022746298048231,0.24345543781751686,0.6941749506526523,0.23286426968806923,0.3410283820082744,0.20442021853565936,0.42989748948150214,0.3432706405232335,0.010969870402348267,0.008894448711560891
