Sequence,metric,variant,lambda_rate,BPP,metric_value,on_internal_pareto_frontier
HoneyBee,PSNR,Baseline,0.0018,0.0273617311328526,28.57781423412058,True
HoneyBee,PSNR,Baseline,0.0067,0.0224722620881633,28.529389379003195,True
HoneyBee,PSNR,Baseline,0.025,0.0155628872153199,27.6432663566981,True
HoneyBee,PSNR,Full_ATIC,0.0018,0.2993157552083332,31.950805498298884,True
HoneyBee,PSNR,Full_ATIC,0.0067,0.2457144794228636,31.8409963608454,True
HoneyBee,PSNR,Full_ATIC,0.025,0.1908236233903547,31.331781746596164,False
HoneyBee,PSNR,No_AdaptiveQuant,0.0018,0.3575409447312845,32.089457489694475,False
HoneyBee,PSNR,No_AdaptiveQuant,0.0067,0.2763658267048651,31.257591107832056,False
HoneyBee,PSNR,No_AdaptiveQuant,0.025,0.1940762976344229,31.32289925478732,False
HoneyBee,PSNR,No_CBAM,0.0018,0.3083756477136181,32.2878408659166,True
HoneyBee,PSNR,No_CBAM,0.0067,0.2501536924574111,31.90826793540888,True
HoneyBee,PSNR,No_CBAM,0.025,0.1297214655778045,31.52024321983267,True
HoneyBee,SSIM,Baseline,0.0018,0.0273617311328526,0.966454037030538,True
HoneyBee,SSIM,Baseline,0.0067,0.0224722620881633,0.9660796463489532,True
HoneyBee,SSIM,Baseline,0.025,0.0155628872153199,0.961821726957957,True
HoneyBee,SSIM,Full_ATIC,0.0018,0.2993157552083332,0.9802766372760136,False
HoneyBee,SSIM,Full_ATIC,0.0067,0.2457144794228636,0.98095074792703,True
HoneyBee,SSIM,Full_ATIC,0.025,0.1908236233903547,0.9782762209574382,True
HoneyBee,SSIM,No_AdaptiveQuant,0.0018,0.3575409447312845,0.981386292974154,False
HoneyBee,SSIM,No_AdaptiveQuant,0.0067,0.2763658267048651,0.976948215564092,False
HoneyBee,SSIM,No_AdaptiveQuant,0.025,0.1940762976344229,0.9778742889563242,False
HoneyBee,SSIM,No_CBAM,0.0018,0.3083756477136181,0.9826856722434362,True
HoneyBee,SSIM,No_CBAM,0.0067,0.2501536924574111,0.979639172554016,False
HoneyBee,SSIM,No_CBAM,0.025,0.1297214655778045,0.978243308266004,True
HoneyBee,MS-SSIM,Baseline,0.0018,0.0273617311328526,0.9407194077968596,True
HoneyBee,MS-SSIM,Baseline,0.0067,0.0224722620881633,0.940523917476336,True
HoneyBee,MS-SSIM,Baseline,0.025,0.0155628872153199,0.9300026506185533,True
HoneyBee,MS-SSIM,Full_ATIC,0.0018,0.2993157552083332,0.9623475243647892,True
HoneyBee,MS-SSIM,Full_ATIC,0.0067,0.2457144794228636,0.9622253020604452,True
HoneyBee,MS-SSIM,Full_ATIC,0.025,0.1908236233903547,0.9581271876891454,False
HoneyBee,MS-SSIM,No_AdaptiveQuant,0.0018,0.3575409447312845,0.9632174958785374,False
HoneyBee,MS-SSIM,No_AdaptiveQuant,0.0067,0.2763658267048651,0.9570980856815974,False
HoneyBee,MS-SSIM,No_AdaptiveQuant,0.025,0.1940762976344229,0.9577021290858586,False
HoneyBee,MS-SSIM,No_CBAM,0.0018,0.3083756477136181,0.9647855490446092,True
HoneyBee,MS-SSIM,No_CBAM,0.0067,0.2501536924574111,0.9615968247254688,False
HoneyBee,MS-SSIM,No_CBAM,0.025,0.1297214655778045,0.9593280146519344,True
HoneyBee,LPIPS,Baseline,0.0018,0.0273617311328526,0.1353683466712633,False
HoneyBee,LPIPS,Baseline,0.0067,0.0224722620881633,0.1352483198046684,True
HoneyBee,LPIPS,Baseline,0.025,0.0155628872153199,0.1528765921791394,True
HoneyBee,LPIPS,Full_ATIC,0.0018,0.2993157552083332,0.1039225498835245,False
HoneyBee,LPIPS,Full_ATIC,0.0067,0.2457144794228636,0.1044271839161714,True
HoneyBee,LPIPS,Full_ATIC,0.025,0.1908236233903547,0.1134754002094268,False
HoneyBee,LPIPS,No_AdaptiveQuant,0.0018,0.3575409447312845,0.101700660213828,False
