Sequence,metric,variant,frontier_points
Bosphorous,DISTS,Baseline,3
Bosphorous,DISTS,Full_ATIC,1
Bosphorous,DISTS,No_AdaptiveQuant,2
Bosphorous,DISTS,No_CBAM,1
Bosphorous,LPIPS,Baseline,3
Bosphorous,LPIPS,Full_ATIC,1
Bosphorous,LPIPS,No_AdaptiveQuant,1
Bosphorous,LPIPS,No_CBAM,1
Bosphorous,MS-SSIM,Baseline,2
Bosphorous,MS-SSIM,Full_ATIC,1
Bosphorous,MS-SSIM,No_AdaptiveQuant,2
Bosphorous,MS-SSIM,No_CBAM,1
Bosphorous,MSE,Baseline,3
Bosphorous,MSE,Full_ATIC,1
Bosphorous,MSE,No_AdaptiveQuant,2
Bosphorous,MSE,No_CBAM,2
Bosphorous,PSNR,Baseline,3
Bosphorous,PSNR,Full_ATIC,1
Bosphorous,PSNR,No_AdaptiveQuant,2
Bosphorous,PSNR,No_CBAM,2
Bosphorous,SSIM,Baseline,2
Bosphorous,SSIM,Full_ATIC,1
Bosphorous,SSIM,No_AdaptiveQuant,2
Bosphorous,SSIM,No_CBAM,1
HoneyBee,DISTS,Baseline,2
HoneyBee,DISTS,Full_ATIC,2
HoneyBee,DISTS,No_AdaptiveQuant,0
HoneyBee,DISTS,No_CBAM,2
HoneyBee,LPIPS,Baseline,2
HoneyBee,LPIPS,Full_ATIC,1
HoneyBee,LPIPS,No_AdaptiveQuant,0
HoneyBee,LPIPS,No_CBAM,3
HoneyBee,MS-SSIM,Baseline,3
HoneyBee,MS-SSIM,Full_ATIC,2
HoneyBee,MS-SSIM,No_AdaptiveQuant,0
HoneyBee,MS-SSIM,No_CBAM,2
HoneyBee,MSE,Baseline,3
HoneyBee,MSE,Full_ATIC,2
HoneyBee,MSE,No_AdaptiveQuant,0
HoneyBee,MSE,No_CBAM,3
HoneyBee,PSNR,Baseline,3
HoneyBee,PSNR,Full_ATIC,2
HoneyBee,PSNR,No_AdaptiveQuant,0
HoneyBee,PSNR,No_CBAM,3
HoneyBee,SSIM,Baseline,3
HoneyBee,SSIM,Full_ATIC,2
HoneyBee,SSIM,No_AdaptiveQuant,0
HoneyBee,SSIM,No_CBAM,2
YachtRide,DISTS,Baseline,1
YachtRide,DISTS,Full_ATIC,0
YachtRide,DISTS,No_AdaptiveQuant,1
YachtRide,DISTS,No_CBAM,1
YachtRide,LPIPS,Baseline,2
YachtRide,LPIPS,Full_ATIC,0
YachtRide,LPIPS,No_AdaptiveQuant,1
YachtRide,LPIPS,No_CBAM,1
YachtRide,MS-SSIM,Baseline,1
YachtRide,MS-SSIM,Full_ATIC,0
YachtRide,MS-SSIM,No_AdaptiveQuant,1
YachtRide,MS-SSIM,No_CBAM,2
YachtRide,MSE,Baseline,2
YachtRide,MSE,Full_ATIC,0
YachtRide,MSE,No_AdaptiveQuant,1
YachtRide,MSE,No_CBAM,2
YachtRide,PSNR,Baseline,1
YachtRide,PSNR,Full_ATIC,0
YachtRide,PSNR,No_AdaptiveQuant,1
YachtRide,PSNR,No_CBAM,2
YachtRide,SSIM,Baseline,2
YachtRide,SSIM,Full_ATIC,0
YachtRide,SSIM,No_AdaptiveQuant,1
YachtRide,SSIM,No_CBAM,2
